Gene_ID	Gene
ENSG00000005206	['SPPL2B', 'PSL1', 'KIAA1532']
ENSG00000005238	['FAM214B', 'KIAA1539', 'FLJ11560', 'bA182N22.6']
ENSG00000005243	['COPZ2', 'MGC23008']
ENSG00000005249	['PRKAR2B']
ENSG00000005302	['MSL3', 'MSL3L1']
ENSG00000005339	['CREBBP', 'RSTS', 'RTS', 'CBP', 'KAT3A']
ENSG00000005379	['BZRAP1']
ENSG00000005381	['MPO']
ENSG00000005421	['PON1', 'PON']
ENSG00000005436	['GCFC2', 'TCF9', 'C2orf3', 'DNABF', 'GCF']
ENSG00000005448	['WDR54', 'FLJ12953']
ENSG00000005469	['CROT', 'COT']
ENSG00000005471	['ABCB4', 'PGY3', 'MDR3', 'MDR2', 'PFIC-3', 'GBD1']
ENSG00000005483	['KMT2E', 'MLL5', 'HDCMC04P']
ENSG00000005486	['RHBDD2', 'RHBDL7', 'NPD007']
ENSG00000005513	['SOX8']
ENSG00000005700	['IBTK', 'BTKI', 'DKFZP564B116', 'BTBD26']
ENSG00000005801	['ZNF195']
ENSG00000005810	['MYCBP2', 'KIAA0916', 'FLJ10106']
ENSG00000005812	['FBXL3', 'FBXL3A', 'FBL3A']
ENSG00000005844	['ITGAL', 'CD11A', 'LFA-1']
ENSG00000005882	['PDK2', 'PDHK2']
ENSG00000005884	['ITGA3', 'MSK18', 'CD49c', 'VLA3a', 'VCA-2', 'GAP-B3']
ENSG00000005889	['ZFX', 'ZNF926']
ENSG00000005893	['LAMP2', 'CD107b']
ENSG00000005955	['GGNBP2', 'ZNF403', 'ZFP403', 'LZK1', 'FLJ22561', 'FLJ21230', 'DIF-3', 'DIF3']
ENSG00000005961	['ITGA2B', 'GP2B', 'CD41B', 'CD41', 'PPP1R93']
ENSG00000005981	['ASB4', 'ASB-4']
ENSG00000006007	['GDE1', 'MIR16']
ENSG00000006015	['C19orf60']
ENSG00000006016	['CRLF1', 'CLF-1', 'CLF', 'CISS', 'CISS1']
ENSG00000006025	['OSBPL7', 'ORP7', 'MGC71150']
ENSG00000006042	['TMEM98', 'DKFZP564K1964']
ENSG00000006047	['YBX2', 'MSY2', 'CSDA3', 'Contrin']
ENSG00000006059	['KRT33A', 'KRTHA3A', 'Ha-3I', 'Krt1-3']
ENSG00000006062	['MAP3K14', 'NIK', 'HSNIK', 'FTDCR1B', 'HS']
ENSG00000006071	['ABCC8', 'SUR', 'HRINS', 'HI', 'PHHI', 'SUR1', 'MRP8', 'ABC36', 'HHF1', 'TNDM2']
ENSG00000006074	['CCL18', 'SCYA18', 'DC-CK1', 'PARC', 'AMAC-1', 'DCCK1', 'MIP-4', 'CKb7']
ENSG00000006075	['CCL3', 'SCYA3', 'G0S19-1', 'LD78ALPHA', 'MIP-1-alpha']
ENSG00000006114	['SYNRG', 'AP1GBP1', 'SYNG', 'MGC104959']
ENSG00000006116	['CACNG3']
ENSG00000006118	['TMEM132A', 'HSPA5BP1', 'FLJ20539']
ENSG00000006125	['AP2B1', 'ADTB2', 'CLAPB1']
ENSG00000006128	['TAC1', 'TAC2', 'NKNA', 'NPK']
ENSG00000006194	['ZNF263', 'FPM315', 'ZKSCAN12', 'ZSCAN44']
ENSG00000006210	['CX3CL1', 'SCYD1', 'NTN', 'C3Xkine', 'ABCD-3', 'CXC3C', 'CXC3', 'fractalkine', 'neurotactin']
ENSG00000006282	['SPATA20', 'FLJ21347', 'SSP411', 'Tisp78']
ENSG00000006283	['CACNA1G', 'Cav3.1', 'NBR13']
ENSG00000006327	['TNFRSF12A', 'FN14', 'TweakR', 'CD266']
ENSG00000006377	['DLX6']
ENSG00000006432	['MAP3K9', 'MLK1', 'PRKE1', 'MEKK9']
ENSG00000006451	['RALA', 'RAL']
ENSG00000006453	['BAIAP2L1', 'IRTKS']
ENSG00000006459	['KDM7A', 'JHDM1D', 'KIAA1718']
ENSG00000006468	['ETV1', 'ER81']
ENSG00000006530	['AGK', 'MULK', 'FLJ10842']
ENSG00000006534	['ALDH3B1', 'ALDH7']
ENSG00000006555	['TTC22', 'FLJ20619']
ENSG00000006576	['PHTF2', 'DKFZp434D166']
ENSG00000006606	['CCL26', 'SCYA26', 'MIP-4alpha', 'eotaxin-3', 'IMAC', 'MIP-4a', 'TSC-1']
ENSG00000006607	['FARP2', 'KIAA0793', 'FIR', 'PLEKHC3', 'FRG']
ENSG00000006611	['USH1C', 'DFNB18', 'PDZ73', 'harmonin', 'NY-CO-37', 'NY-CO-38', 'PDZ-73', 'AIE-75', 'PDZD7C']
ENSG00000006625	['GGCT', 'C7orf24', 'GCTG', 'MGC3077', 'CRF21', 'Ggc']
ENSG00000006634	['DBF4', 'ASK', 'chif', 'ZDBF1', 'DBF4A']
ENSG00000006638	['TBXA2R']
ENSG00000006652	['IFRD1', 'PC4', 'TIS7']
ENSG00000006659	['LGALS14', 'PPL13']
ENSG00000006695	['COX10']
ENSG00000006704	['GTF2IRD1', 'WBSCR11', 'MusTRD1', 'RBAP2', 'GTF3', 'WBSCR12', 'BEN', 'Cream1']
ENSG00000006712	['PAF1', 'PD2', 'F23149_1', 'FLJ11123']
ENSG00000006715	['VPS41', 'HVSP41']
ENSG00000006740	['ARHGAP44', 'KIAA0672', 'RICH-2', 'RICH2']
ENSG00000006744	['ELAC2', 'FLJ10530', 'HPC2']
ENSG00000006747	['SCIN', 'KIAA1905']
ENSG00000006756	['ARSD']
ENSG00000006757	['PNPLA4', 'DXS1283E', 'GS2', 'iPLA2eta']
ENSG00000006788	['MYH13', 'MyHC-eo']
ENSG00000006831	['ADIPOR2', 'PAQR2', 'ACDCR2']
ENSG00000006837	['CDKL3', 'NKIAMRE']
ENSG00000007001	['UPP2', 'UPASE2', 'UDRPASE2']
ENSG00000007038	['PRSS21', 'ESP-1', 'TEST1']
ENSG00000007047	['MARK4', 'MARKL1', 'Nbla00650', 'FLJ90097', 'KIAA1860', 'PAR-1D']
ENSG00000007062	['PROM1', 'PROML1', 'STGD4', 'AC133', 'CD133', 'RP41', 'CORD12']
ENSG00000007080	['CCDC124']
ENSG00000007129	['CEACAM21', 'R29124_1', 'FLJ13540']
ENSG00000007168	['PAFAH1B1', 'MDCR', 'MDS', 'LIS1', 'PAFAH', 'NudF']
ENSG00000007171	['NOS2', 'NOS2A', 'iNOS', 'HEP-NOS']
ENSG00000007174	['DNAH9', 'DNAH17L', 'Dnahc9', 'KIAA0357', 'HL20', 'HL-20', 'DYH9']
ENSG00000007202	['KIAA0100', 'DKFZp686M0843', 'MGC111488', 'BCOX1', 'CT101', 'BCOX', 'FMP27']
ENSG00000007216	['SLC13A2', 'NaDC-1']
ENSG00000007237	['GAS7', 'KIAA0394', 'MGC1348']
ENSG00000007255	['TRAPPC6A', 'TRS33', 'MGC2650', 'HSPC289']
ENSG00000007264	['MATK', 'HYLTK', 'CTK', 'HYL', 'Lsk', 'HHYLTK', 'DKFZp434N1212', 'MGC1708', 'MGC2101']
ENSG00000007306	['CEACAM7', 'CGM2']
ENSG00000007312	['CD79B', 'IGB', 'B29']
ENSG00000007314	['SCN4A', 'HYKPP', 'Nav1.4', 'HYPP', 'SkM1']
ENSG00000007341	['ST7L', 'FLJ20284', 'STLR', 'ST7R', 'FAM4B']
ENSG00000007350	['TKTL1', 'TKR', 'TKT2']
ENSG00000007372	['PAX6', 'AN2', 'D11S812E', 'WAGR']
ENSG00000007376	['RPUSD1', 'C16orf40', 'RLUCL', 'MGC19600']
ENSG00000007384	['RHBDF1', 'C16orf8', 'EGFR-RS', 'FLJ2235', 'Dist1', 'iRhom1']
ENSG00000007392	['LUC7L', 'LUC7B1', 'hLuc7B1', 'Luc7']
ENSG00000007402	['CACNA2D2', 'KIAA0558']
ENSG00000007516	['BAIAP3', 'BAP3', 'KIAA0734']
ENSG00000007520	['TSR3', 'C16orf42', 'MGC24381']
ENSG00000007541	['PIGQ', 'hGPI1', 'GPI1']
ENSG00000007545	['CRAMP1L']
ENSG00000007866	['TEAD3', 'TEAD5', 'TEF-5', 'ETFR-1']
ENSG00000007908	['SELE', 'ELAM1', 'ELAM', 'ESEL', 'CD62E']
ENSG00000007923	['DNAJC11', 'FLJ10737']
ENSG00000007933	['FMO3']
ENSG00000007944	['MYLIP', 'IDOL']
ENSG00000007952	['NOX1', 'NOH1', 'NOH-1', 'GP91-2']
ENSG00000007968	['E2F2', 'E2F-2']
ENSG00000008018	['PSMB1', 'PMSB1', 'HC5']
ENSG00000008056	['SYN1']
ENSG00000008083	['JARID2', 'JMJ']
ENSG00000008086	['CDKL5', 'STK9', 'EIEE2', 'CFAP247']
ENSG00000008118	['CAMK1G', 'VWS1', 'CLICKIII', 'dJ272L16.1']
ENSG00000008128	['CDK11A', 'CDC2L3', 'CDC2L2', 'PITSLRE', 'CDK11-p110', 'CDK11-p58', 'CDK11-p46', 'p58GTA']
ENSG00000008130	['NADK', 'FLJ13052']
ENSG00000008196	['TFAP2B', 'AP2-B']
ENSG00000008197	['TFAP2D', 'TFAP2BL1']
ENSG00000008226	['DLEC1', 'CFAP81']
ENSG00000008256	['CYTH3', 'PSCD3', 'GRP1', 'ARNO3', 'cytohesin-3']
ENSG00000008277	['ADAM22', 'MDC2']
ENSG00000008282	['SYPL1', 'SYPL']
ENSG00000008283	['CYB561', 'FRRS2', 'CYB561A1']
ENSG00000008294	['SPAG9', 'SYD1', 'KIAA0516', 'MGC14967', 'MGC74461', 'MGC117291', 'JLP', 'PHET', 'HLC4', 'FLJ13450', 'FLJ14006', 'FLJ26141', 'FLJ34602', 'CT89', 'JIP4', 'JIP-4']
ENSG00000008300	['CELSR3', 'EGFL1', 'MEGF2', 'HFMI1', 'FMI1', 'CDHF11', 'ADGRC3']
ENSG00000008311	['AASS', 'LORSDH', 'LKRSDH']
ENSG00000008323	['PLEKHG6', 'FLJ10665', 'MYOGEF']
ENSG00000008324	['SS18L2', 'KIAA-iso']
ENSG00000008382	['MPND', 'FLJ14981']
ENSG00000008394	['MGST1', 'GST12', 'MGST-I']
ENSG00000008405	['CRY1', 'PHLL1']
ENSG00000008438	['PGLYRP1', 'TNFSF3L', 'PGLYRP', 'TAG7', 'PGRP', 'PGRP-S', 'PGRPS']
ENSG00000008441	['NFIX', 'NF1A']
ENSG00000008513	['ST3GAL1', 'SIAT4A', 'ST3O', 'SIATFL', 'ST3GalA.1']
ENSG00000008516	['MMP25', 'MMPL1', 'MT6-MMP']
ENSG00000008517	['IL32', 'NK4', 'TAIF', 'TAIFb', 'TAIFd']
ENSG00000008710	['PKD1', 'Pc-1', 'TRPP1']
ENSG00000008735	['MAPK8IP2', 'PRKM8IPL', 'IB2', 'JIP2']
ENSG00000008838	['MED24', 'THRAP4', 'CRSP4', 'TRAP100', 'KIAA0130', 'DRIP100', 'CRSP100', 'MED5']
ENSG00000008853	['RHOBTB2', 'KIAA0717', 'DBC2']
ENSG00000008869	['HEATR5B', 'KIAA1414', 'DKFZp686P15184']
ENSG00000008952	['SEC62', 'TLOC1', 'Dtrp1', 'HTP1']
ENSG00000008988	['RPS20', 'S20', 'uS10']
ENSG00000009307	['CSDE1', 'D1S155E', 'UNR']
ENSG00000009335	['UBE3C', 'KIAA0010', 'KIAA10']
ENSG00000009413	['REV3L', 'POLZ', 'REV3']
ENSG00000009694	['TENM1', 'ODZ3', 'TNM', 'ODZ1', 'TEN-M1']
ENSG00000009709	['PAX7', 'Hup1']
ENSG00000009724	['MASP2', 'MASP1P1']
ENSG00000009765	['IYD', 'C6orf71', 'dJ422F24.1', 'DEHAL1']
ENSG00000009780	['FAM76A', 'MGC34648']
ENSG00000009790	['TRAF3IP3', 'T3JAM']
ENSG00000009830	['POMT2', 'LGMD2N']
ENSG00000009844	['VTA1', 'C6orf55', 'HSPC228', 'My012']
ENSG00000009950	['MLXIPL', 'WBSCR14', 'WS-bHLH', 'CHREBP', 'MONDOB', 'bHLHd14']
ENSG00000009954	['BAZ1B', 'WBSCR9', 'WBSCR10', 'WSTF']
ENSG00000010017	['RANBP9', 'RanBPM']
ENSG00000010030	['ETV7', 'TEL2', 'TEL-2']
ENSG00000010072	['SPRTN', 'C1orf124', 'DKFZP547N043', 'Spartan', 'DVC1']
ENSG00000010165	['METTL13', 'KIAA0859', 'CGI-01']
ENSG00000010219	['DYRK4']
ENSG00000010244	['ZNF207', 'BuGZ']
ENSG00000010256	['UQCRC1', 'D3S3191', 'QCR1', 'UQCR1']
ENSG00000010270	['STARD3NL', 'MENTHO', 'MGC3251']
ENSG00000010278	['CD9', 'MIC3', 'BA2', 'P24', 'TSPAN29', 'MRP-1']
ENSG00000010282	['HHATL', 'C3orf3', 'GUP1', 'KIAA1173', 'OACT3', 'MSTP002', 'MBOAT3']
ENSG00000010292	['NCAPD2', 'CNAP1', 'hCAP-D2', 'CAP-D2', 'KIAA0159']
ENSG00000010295	['IFFO1', 'IFFO', 'HOM-TES-103']
ENSG00000010310	['GIPR']
ENSG00000010318	['PHF7', 'NYD-SP6', 'HSPC226']
ENSG00000010319	['SEMA3G', 'FLJ00014', 'sem2']
ENSG00000010322	['NISCH', 'KIAA0975', 'I-1', 'IRAS']
ENSG00000010327	['STAB1', 'KIAA0246', 'STAB-1', 'FEEL-1', 'CLEVER-1', 'FELE-1', 'FEX1', 'SCARH2']
ENSG00000010361	['FUZ', 'FLJ22688', 'Fy', 'CPLANE3']
ENSG00000010379	['SLC6A13', 'GAT2']
ENSG00000010404	['IDS', 'SIDS']
ENSG00000010438	['PRSS3', 'PRSS4', 'TRY3', 'TRY4']
ENSG00000010539	['ZNF200']
ENSG00000010610	['CD4']
ENSG00000010626	['LRRC23', 'B7', 'LRPB7']
ENSG00000010671	['BTK', 'AGMX1', 'IMD1', 'ATK', 'XLA', 'PSCTK1']
ENSG00000010704	['HFE', 'HLA-H']
ENSG00000010803	['SCMH1', 'Scml3']
ENSG00000010810	['FYN', 'SYN', 'MGC45350']
ENSG00000010818	['HIVEP2', 'MBP-2', 'HIV-EP2', 'MIBP1', 'ZAS2', 'Schnurri-2', 'ZNF40B']
ENSG00000010932	['FMO1']
ENSG00000011007	['TCEB3']
ENSG00000011009	['LYPLA2', 'APT-2']
ENSG00000011021	['CLCN6', 'CLC-6', 'KIAA0046', 'ClC-6']
ENSG00000011028	['MRC2', 'KIAA0709', 'ENDO180', 'CLEC13E', 'CD280']
ENSG00000011052	['NME2', 'NM23-H2', 'NDPKB']
ENSG00000011083	['SLC6A7', 'PROT']
ENSG00000011105	['TSPAN9', 'NET-5']
ENSG00000011114	['BTBD7', 'FLJ10648', 'FUP1']
ENSG00000011132	['APBA3', 'X11L2', 'mint3']
ENSG00000011143	['MKS1', 'MKS', 'FLJ20345', 'POC12', 'BBS13']
ENSG00000011198	['ABHD5', 'CGI-58', 'NCIE2']
ENSG00000011201	['KAL1']
ENSG00000011243	['AKAP8L', 'NAKAP95', 'HAP95']
ENSG00000011258	['MBTD1', 'SA49P01', 'FLJ20055']
ENSG00000011260	['UTP18', 'WDR50', 'CGI-48']
ENSG00000011275	['RNF216', 'TRIAD3', 'UBCE7IP1', 'ZIN']
ENSG00000011295	['TTC19', 'FLJ20343', 'MGC19520']
ENSG00000011304	['PTBP1', 'PTB', 'HNRPI', 'HNRNP-I', 'PTB2', 'PTB3', 'PTB-1', 'PTB4', 'pPTB']
ENSG00000011332	['DPF1', 'neuro-d4', 'NEUD4', 'BAF45b']
ENSG00000011347	['SYT7', 'PCANAP7', 'IPCA-7', 'SYT-VII', 'MGC150517']
ENSG00000011376	['LARS2', 'KIAA0028', 'LEURS', 'MGC26121', 'mtLeuRS']
ENSG00000011405	['PIK3C2A', 'PI3K-C2alpha']
ENSG00000011422	['PLAUR', 'URKR', 'UPAR', 'CD87']
ENSG00000011426	['ANLN', 'ANILLIN', 'Scraps', 'scra']
ENSG00000011451	['WIZ', 'ZNF803']
ENSG00000011454	['RABGAP1', 'GAPCenA', 'TBC1D11']
ENSG00000011465	['DCN', 'DSPG2', 'SLRR1B']
ENSG00000011478	['QPCTL', 'FLJ20084']
ENSG00000011485	['PPP5C', 'PPP5', 'PP5']
ENSG00000011523	['CEP68', 'KIAA0582']
ENSG00000011566	['MAP4K3', 'RAB8IPL1', 'GLK', 'MAPKKKK3']
ENSG00000011590	['ZBTB32', 'TZFP', 'FAZF', 'FAXF', 'Rog', 'ZNF538']
ENSG00000011600	['TYROBP', 'PLOSL', 'DAP12', 'PLO-SL', 'KARAP']
ENSG00000011638	['TMEM159', 'promethin']
ENSG00000011677	['GABRA3']
ENSG00000012048	['BRCA1', 'RNF53', 'BRCC1', 'PPP1R53', 'FANCS']
ENSG00000012061	['ERCC1', 'RAD10']
ENSG00000012124	['CD22', 'SIGLEC-2', 'SIGLEC2']
ENSG00000012171	['SEMA3B', 'SEMAA', 'SemA', 'semaV', 'LUCA-1', 'sema5']
ENSG00000012174	['MBTPS2', 'KFSD', 'S2P']
ENSG00000012211	['PRICKLE3', 'LMO6']
ENSG00000012223	['LTF', 'HLF2']
ENSG00000012232	['EXTL3', 'botv', 'REGR']
ENSG00000012504	['NR1H4', 'FXR', 'RIP14', 'HRR1', 'HRR-1']
ENSG00000012660	['ELOVL5', 'SCA38', 'HELO1', 'dJ483K16.1']
ENSG00000012779	['ALOX5', '5-LOX']
ENSG00000012817	['KDM5D', 'HYA', 'HY', 'SMCY', 'JARID1D', 'KIAA0234']
ENSG00000012822	['CALCOCO1', 'KIAA1536', 'calphoglin', 'Cocoa']
ENSG00000012963	['UBR7', 'C14orf130']
ENSG00000012983	['MAP4K5', 'KHS1', 'KHS']
ENSG00000013016	['EHD3', 'PAST3']
ENSG00000013275	['PSMC4', 'MIP224', 'TBP7', 'S6', 'MGC8570', 'MGC13687', 'MGC23214', 'TBP-7']
ENSG00000013288	['MAN2B2', 'KIAA0935']
ENSG00000013293	['SLC7A14', 'KIAA1613', 'PPP1R142']
ENSG00000013297	['CLDN11', 'OTM', 'OSP']
ENSG00000013306	['SLC25A39', 'FLJ22407', 'CGI-69']
ENSG00000013364	['MVP', 'VAULT1']
ENSG00000013374	['NUB1', 'BS4', 'NYREN18', 'NUB1L']
ENSG00000013375	['PGM3', 'AGM1', 'DKFZP434B187', 'PAGM']
ENSG00000013392	['RWDD2A', 'RWDD2', 'MGC13523', 'dJ747H23.2']
ENSG00000013441	['CLK1']
ENSG00000013503	['POLR3B', 'RPC2', 'FLJ10388']
ENSG00000013523	['ANGEL1', 'KIAA0759', 'Ccr4e']
ENSG00000013561	['RNF14', 'ARA54', 'HFB30', 'TRIAD2']
ENSG00000013563	['DNASE1L1', 'DNL1L', 'DNAS1L1', 'XIB', 'DNASEX']
ENSG00000013573	['DDX11', 'CHLR1', 'KRG2', 'ChlR1', 'WABS']
ENSG00000013583	['HEBP1', 'HEBP']
ENSG00000013588	['GPRC5A', 'RAI3', 'RAIG1', 'TIG1', 'PEIG-1']
ENSG00000013619	['MAMLD1', 'CXorf6', 'F18']
ENSG00000013725	['CD6', 'Tp120']
ENSG00000013810	['TACC3', 'ERIC1']
ENSG00000014123	['UFL1', 'KIAA0776', 'NLBP', 'Maxer', 'RCAD']
ENSG00000014138	['POLA2', 'FLJ21662']
ENSG00000014164	['ZC3H3', 'ZC3HDC3', 'KIAA0150']
ENSG00000014216	['CAPN1', 'muCANP', 'muCL', 'CANP', 'CANPL1']
ENSG00000014257	['ACPP', 'ACP3', 'ACP-3', 'PAP']
ENSG00000014641	['MDH1']
ENSG00000014824	['SLC30A9', 'C4orf1', 'HUEL', 'ZNT9', 'GAC63']
ENSG00000014914	['MTMR11']
ENSG00000014919	['COX15', 'CEMCOX2']
ENSG00000015133	['CCDC88C', 'KIAA1509', 'DAPLE', 'HkRP2', 'SCA40']
ENSG00000015153	['YAF2']
ENSG00000015171	['ZMYND11', 'BS69']
ENSG00000015285	['WAS', 'IMD2', 'THC', 'WASP', 'WASPA']
ENSG00000015413	['DPEP1']
ENSG00000015475	['BID']
ENSG00000015479	['MATR3', 'MPD2', 'KIAA0723', 'MGC9105', 'VCPDM']
ENSG00000015520	['NPC1L1', 'SLC65A2']
ENSG00000015532	['XYLT2', 'XT-II', 'PXYLT2']
ENSG00000015568	['RGPD5', 'RGP5', 'BS-63', 'DKFZp686I1842']
ENSG00000015592	['STMN4', 'RB3']
ENSG00000015676	['NUDCD3', 'KIAA1068', 'NudCL']
ENSG00000016082	['ISL1', 'Isl-1', 'ISLET1']
ENSG00000016391	['CHDH']
ENSG00000016402	['IL20RA', 'ZCYTOR7', 'IL-20R1']
ENSG00000016490	['CLCA1', 'CaCC', 'CLCRG1']
ENSG00000016602	['CLCA4', 'CaCC2']
ENSG00000016864	['GLT8D1', 'AD-017', 'FLJ14611']
ENSG00000017260	['ATP2C1', 'BCPM', 'KIAA1347', 'ATP2C1A', 'PMR1', 'SPCA1']
ENSG00000017373	['SRCIN1', 'SNIP', 'p140Cap', 'KIAA1684']
ENSG00000017427	['IGF1', 'IGF1A', 'IGFI', 'IGF-I', 'IGF']
ENSG00000017483	['SLC38A5', 'SN2', 'JM24']
ENSG00000017621	['MAGIX', 'PDZX', 'JM10', 'FLJ21687']
ENSG00000017797	['RALBP1', 'RLIP76', 'RIP1']
ENSG00000018189	['RUFY3', 'RIPx', 'KIAA0871', 'Singar1', 'ZFYVE30']
ENSG00000018236	['CNTN1', 'GP135']
ENSG00000018280	['SLC11A1', 'NRAMP', 'NRAMP1']
ENSG00000018408	['WWTR1', 'DKFZp586I1419']
