src	dst	weight
0	32	0.1882546237333742
0	7	0.042821210303306545
2	27	0.8738314963339756
3	16	0.003377050247917235
3	14	0.14328368044365092
4	7	0.8510637736449003
5	16	0.0663455410276037
8	23	0.5482296234737563
10	13	0.8323245729884595
11	21	0.1097714079627915
14	21	0.3004597878305765
14	29	0.5100678691635089
15	9	0.8445030996020826
17	8	0.6036977183414365
17	27	0.08507955133399892
17	25	0.2854932227198954
18	19	0.35796612774046466
18	8	0.7593408581537862
20	14	0.4633521817593381
21	25	0.3158515668501327
21	19	0.9728203584324581
22	17	0.7719144911570569
22	21	0.49768390110360894
22	0	0.8380184582936273
23	23	0.2318077010780496
27	26	0.30561843119040477
27	22	0.20901730077445213
27	15	0.01383024505360908
28	11	0.8510781950235259
29	9	0.6037647191385479
29	13	0.6028238390110471
30	9	0.3084768463505051
31	24	0.07255687445605985
